Attribution ID,Source,Dating,Dating (range),Source Origin,Modern Country for Source Origin,Source type,Piece,Attributed to Josquin?,NJE Number,Genre,Voices,Attribution Category,Probable Composer,Other Attribution in Source
Attr_22,RomeC 2856,1489,~1486–89,Ferrara,Italy,manuscript,Adieu mes amours,yes,28.3,songs and instrumental pieces,4,1,,
Attr_23,RomeC 2856,1489,~1486–89,Ferrara,Italy,manuscript,Une musque de Biscaye,yes,28.35,songs and instrumental pieces,4,1,,
Attr_24,PozU 7022,1490,~1490,Lviv,Ukraine,manuscript,Missa L'ami Baudichon,no,5.1,mass,4,2,,
Attr_25,PozU 7022,1490,~1490,Lviv,Ukraine,manuscript,Missa L'homme armé sexti toni,no,6.2,mass,4(-6),1,,
Attr_26,SevC 5-1-43,1490,~1470–90,Naples/Rome,Italy,manuscript,Helas madame,no,27.13,songs and instrumental pieces,3,3,,
Attr_27,SevC 5-1-43,1490,~1470–90,Naples/Rome,Italy,manuscript,Madame helas,no,27.24,songs and instrumental pieces,3,3,,
Attr_28,SevC 5-1-43,1490,~1470–90,Naples/Rome,Italy,manuscript,O Venus bant,no,27.29,songs and instrumental pieces,3,4a,,Gaspar van Weerbeke
Attr_29,SevC 5-1-43,1490,~1470–90,Naples/Rome,Italy,manuscript,Cela sans plus,no,27.4,songs and instrumental pieces,3,4b,Colinet de Lannoy,
Attr_30,SevC 5-1-43,1490,~1470–90,Naples/Rome,Italy,manuscript,Une musque de Biscaye,no,28.35,songs and instrumental pieces,4,1,,
Attr_31,SienBC K.I.2,1490,~1490,Sienna,Italy,manuscript,Missa L'ami Baudichon,no,5.1,mass,4,2,,
Attr_32,VatS 35,1490,~1487–90,Rome,Italy,manuscript,Missa Ferialis,no,4.1,mass,4,4b,Johannes Martini,
Attr_33,VatS 35,1491,~1490–91,Rome,Italy,manuscript,Missa L'homme armé quarti toni,no,6.1,mass,4(-6),4b,Loyset Compere,Compere
Attr_34,FlorBN BR 229,1492,~1492,Florence,Italy,manuscript,Helas madame,no,27.13,songs and instrumental pieces,3,3,,
Attr_35,FlorBN BR 229,1492,~1492,Florence,Italy,manuscript,Helas que pourra,no,27.14,songs and instrumental pieces,3,4b,Heinrich Isaac,Isaac
Attr_36,FlorBN BR 229,1492,~1492,Florence,Italy,manuscript,J'ay bien nourry,no,27.16,songs and instrumental pieces,3,4b,Jean Japart,Japart
Attr_37,FlorBN BR 229,1492,~1492,Florence,Italy,manuscript,Mes pensées,no,27.26,songs and instrumental pieces,3,4b,Loyset Compere,Compere
Attr_38,FlorBN BR 229,1492,~1492,Florence,Italy,manuscript,Que vous madame,yes,27.33,songs and instrumental pieces,3,1,,
Attr_39,FlorBN BR 229,1492,~1492,Florence,Italy,manuscript,Cela sans plus,no,27.4,songs and instrumental pieces,3,4b,Colinet de Lannoy,Lannoy
Attr_40,FlorBN BR 229,1492,~1492,Florence,Italy,manuscript,Et trop penser,no,27.9,songs and instrumental pieces,3,4a,,
Attr_41,FlorBN BR 229,1492,~1492,Florence,Italy,manuscript,Adieu mes amours,yes,28.3,songs and instrumental pieces,4,1,,
Attr_42,FlorBN BR 229,1492,~1492,Florence,Italy,manuscript,Scaramella,yes,28.30,songs and instrumental pieces,4,1,,
Attr_43,FlorBN BR 229,1492,~1492,Florence,Italy,manuscript,Une musque de Biscaye,yes,28.35,songs and instrumental pieces,4,1,,
Attr_44,VatS 35,1492,~1490–92,Rome,Italy,manuscript,"Domine, non secundum peccata",yes,16.10,motet,2-4,1,,
Attr_45,VatS 41,1492,~1490–92,Rome,Italy,manuscript,Credo De tous biens playne,yes,13.2,mass,4,1,,
Attr_46,FlorBN Magl. 178,1494,~1493–94,Florence,Italy,manuscript,Helas madame,yes,27.13,songs and instrumental pieces,3,3,,
Attr_47,FlorBN Magl. 178,1494,~1492–94,Florence,Italy,manuscript,J'ay bien nourry,yes,27.16,songs and instrumental pieces,3,4b,Jean Japart,
Attr_48,FlorBN Magl. 178,1494,~1493–94,Florence,Italy,manuscript,Je me (Je [me] suis si trestourte),yes,27.17,songs and instrumental pieces,3,3,,
Attr_49,FlorBN Magl. 178,1494,~1493–94,Florence,Italy,manuscript,Je n'ose plus,yes,27.19,songs and instrumental pieces,3,2,,
Attr_50,FlorBN Magl. 178,1494,~1492–94,Florence,Italy,manuscript,L'heure est venue,no,27.23,songs and instrumental pieces,3,4b,Alexander Agricola,Agricola
Attr_51,FlorBN Magl. 178,1494,~1492–94,Florence,Italy,manuscript,Mes pensées,no,27.26,songs and instrumental pieces,3,4b,Loyset Compere,Compere
Attr_52,FlorBN Magl. 178,1494,~1492–94,Florence,Italy,manuscript,Que vous madame,yes,27.33,songs and instrumental pieces,3,1,,
Attr_53,FlorBN Magl. 178,1494,~1493–94,Florence,Italy,manuscript,Cela sans plus,yes,27.4,songs and instrumental pieces,3,4b,Colinet de Lannoy,
Attr_54,FlorBN Magl. 178,1494,~1492–94,Florence,Italy,manuscript,Et trop penser,no,27.9,songs and instrumental pieces,3,4a,,
Attr_55,FlorBN Magl. 178,1494,~1492–94,Florence,Italy,manuscript,Adieu mes amours,yes,28.3,songs and instrumental pieces,4,1,,
Attr_56,FlorBN Magl. 178,1494,~1493–94,Florence,Italy,manuscript,Se congié prens,yes,28.31,songs and instrumental pieces,4,3,,
Attr_57,FlorBN Magl. 178,1494,~1492–94,Florence,Italy,manuscript,Une musque de Biscaye,yes,28.35,songs and instrumental pieces,4,1,,
Attr_58,FlorBN Magl. 178,1494,~1493–94,Florence,Italy,manuscript,Belle pour l'amour de vous,yes,28.5,songs and instrumental pieces,4,3,,
Attr_59,FlorBN Magl. 178,1494,~1492–94,Florence,Italy,manuscript,Comment peult avoir joye,yes,28.7,songs and instrumental pieces,4,1,,
Attr_60,VatG XIII.27,1494,~1492–94,Florence,Italy,manuscript,Helas que pourra,no,27.14,songs and instrumental pieces,3,4b,Heinrich Isaac,Isaac
Attr_61,VatG XIII.27,1494,~1492–94,Florence,Italy,manuscript,J'ay bien nourry,no,27.16,songs and instrumental pieces,3,4b,Jean Japart,
Attr_62,VatG XIII.27,1494,~1492–94,Florence,Italy,manuscript,L'heure est venue,no,27.23,songs and instrumental pieces,3,4b,Alexander Agricola,
Attr_63,VatG XIII.27,1494,~1492–94,Florence,Italy,manuscript,Mes pensées,no,27.26,songs and instrumental pieces,3,4b,Loyset Compere,
Attr_64,VatG XIII.27,1494,~1492–94,Florence,Italy,manuscript,Que vous madame,yes,27.33,songs and instrumental pieces,3,1,,
Attr_65,VatG XIII.27,1494,~1492–94,Florence,Italy,manuscript,Cela sans plus,no,27.4,songs and instrumental pieces,3,4b,Colinet de Lannoy,Lannoy
Attr_66,VatG XIII.27,1494,~1492–94,Florence,Italy,manuscript,Adieu mes amours,yes,28.3,songs and instrumental pieces,4,1,,
Attr_67,VatG XIII.27,1494,~1492–94,Florence,Italy,manuscript,Se congié prens,yes,28.31,songs and instrumental pieces,4,3,,
Attr_68,VatG XIII.27,1494,~1492–94,Florence,Italy,manuscript,Une musque de Biscaye,yes,28.35,songs and instrumental pieces,4,1,,
Attr_69,VatG XIII.27,1494,~1493–94,Florence,Italy,manuscript,Comment peult avoir joye,yes,28.7,songs and instrumental pieces,4,1,,
Attr_70,BerlS 40021,1495,~1495,Torgau,Germany,manuscript,Magnificat tertii toni,yes,20.1,motet,4,2,,
Attr_71,UppsU 76a,1495,~1480–95,southwestern France,France,manuscript,Mon mary m'a diffamée,no,27.27,songs and instrumental pieces,3,4a,,
Attr_72,VatS 197,1495,~1492–95,Rome,Italy,manuscript,Missa L'homme armé super voces musicales,yes,6.3,mass,4,1,,
Attr_73,VatS 41,1495,~1495,Rome,Italy,manuscript,Missa La sol fa re mi,yes,11.2,mass,4,1,,
Attr_74,VerBC 759,1495,~1490–95,Verona,Italy,manuscript,Salve regina,no,25.4,motet,4,2,,
Attr_75,VatS 15,1497,~1495–97,Rome,Italy,manuscript,Alma redemptoris mater / Ave regina,no,23.2,motet,4,1,,
Attr_76,VatS 15,1497,~1492–97,Rome,Italy,manuscript,Ave maris stella,yes,23.9,motet,4,1,,
Attr_77,VatS 15,1497,~1495–97,Rome,Italy,manuscript,Illibata dei virgo,no (acrostic),24.3,motet,5,1,,
Attr_78,VatS 15,1497,~1492–97,Rome,Italy,manuscript,Nardi Maria pistici,yes,26.7,motet,4,1,,
Attr_79,VatS 41,1497,~1492–97,Rome,Italy,manuscript,Missa Fortuna desperata,yes,8.2,mass,4,1,,
Attr_80,VatS 49,1497,~1495–97,Rome,Italy,manuscript,Missa Ad fugam,no,12.1,mass,4,4a,,
Attr_81,BerlS 40021,1498,~1497–98,,Germany,manuscript,Missa Une mousse de Biscaye,yes,5.2,mass,4,3,,
Attr_82,ParisBNF 2245,1498,~1490–98,,France,manuscript,En l'ombre d'ung buissonnet,yes,28.13,songs and instrumental pieces,4,3,,
Attr_100,JenaU 31,1500,~1500,Wittenberg,Germany,manuscript,Missa D'ung aultre amer,no,7.3,mass,4,2,,
Attr_101,LonBLE 3051,1500,~1500,Rome,Italy,manuscript,"In te, domine, speravi",no,28.18,songs and instrumental pieces,4,3,,
Attr_102,LonBLR 20 A.xvi,1500,~1483–1500,,France,manuscript,L'heure est venue,no,27.23,songs and instrumental pieces,3,4b,Alexander Agricola,
Attr_103,LonBLR 20 A.xvi,1500,~1483–1500,,France,manuscript,Mes pensées,no,27.26,songs and instrumental pieces,3,4b,Loyset Compere,
Attr_104,LonBLR 20 A.xvi,1500,~1483–1500,,France,manuscript,Que vous madame,yes,27.33,songs and instrumental pieces,3,1,,
Attr_105,MonteA 871,1500,~1480–1500,Naples/Gaeta?,Italy,manuscript,Mes pensées,no,27.26,songs and instrumental pieces,3,4b,Loyset Compere,Compere
Attr_106,ParisBNF 1597,1500,~1500,Paris,France,manuscript,A l'ombre d'ung buissonnet,no,27.2,songs and instrumental pieces,3,2,,
Attr_107,ParisBNF 1597,1500,~1500,Paris,France,manuscript,L'heure est venue,no,27.23,songs and instrumental pieces,3,4b,Alexander Agricola,
Attr_108,ParisBNF 1597,1500,~1500,Paris,France,manuscript,Mes pensées,no,27.26,songs and instrumental pieces,3,4b,Loyset Compere,
Attr_109,ParisBNF 1597,1500,~1500,Paris,France,manuscript,Que vous madame,no,27.33,songs and instrumental pieces,3,1,,
Attr_110,ParisBNF 1597,1500,~1500,Paris,France,manuscript,Si j'ay perdu,no,27.34,songs and instrumental pieces,3,2,,
Attr_111,ParisBNF 1597,1500,~1500,Paris,France,manuscript,"Lourdault, lourdault",no,28.24,songs and instrumental pieces,4,4b,Ninot le Petit,
Attr_112,ParisBNF 1597,1500,~1500,Paris,France,manuscript,Mon seul plaisir,no,28.26,songs and instrumental pieces,4,4b,Ninot le Petit,
Attr_113,VerBC 761,1500,late fifteenth century,Rome,Italy,manuscript,Missa Ferialis,no,4.1,mass,4,4b,Johannes Martini,
Attr_114,VerBC 761,1500,late fifteenth century,Rome,Italy,manuscript,Missa L'ami Baudichon,no,5.1,mass,4,2,,
Attr_115,WarU 5892,1500,~1490–1500,Silesia/Bohemia,Poland/Czech Republic,manuscript,Ave Maria,no,23.6,motet,4,1,,
Attr_116,WarU 5892,1500,~1490–1500,Silesia/Bohemia,Poland/Czech Republic,manuscript,Vultum tuum,no,25.14,motet,4,1,,
Attr_117,WarU 5892,1500,~1490–1500,Silesia/Bohemia,Poland/Czech Republic,manuscript,Que vous madame,no,27.33,songs and instrumental pieces,3,1,,
Attr_118,ZwiR 119/1,1500,~1500,Zwickau,Germany,manuscript,Missa L'ami Baudichon,no,5.1,mass,4,2,,
Attr_83,BarcOC 5,1500,~1495–1500,Rome,Italy,manuscript,Missa Fortuna desperata,no,8.2,mass,4,1,,
Attr_84,BerlS 40021,1500,~1485–1500,,Germany,manuscript,Ave Maria,no,23.6,motet,4,1,,
Attr_85,BerlS 40021,1500,~1498–1500,,Germany,manuscript,Vultum tuum,no,25.14,motet,4,1,,
Attr_86,BerlS 40021,1500,~1485–1500,,Germany,manuscript,Missa L'ami Baudichon,no,5.1,mass,4,2,,
Attr_87,BolC Q17,1500,~1500,Florence?,Italy,manuscript,L'heure est venue,no,27.23,songs and instrumental pieces,3,4b,Alexander Agricola,Agricola
Attr_88,BolC Q17,1500,~1500,Florence?,Italy,manuscript,Mes pensées,no,27.26,songs and instrumental pieces,3,4b,Loyset Compere,Compere
Attr_89,BolC Q17,1500,~1500,Florence?,Italy,manuscript,Que vous madame,yes,27.33,songs and instrumental pieces,3,1,,
Attr_90,BolC Q17,1500,~1500,Florence?,Italy,manuscript,Cela sans plus,no,27.4,songs and instrumental pieces,3,4b,Colinet de Lannoy,Lannoy
Attr_91,BolC Q17,1500,~1500,Florence?,Italy,manuscript,En l'ombre d'ung buissonnet,yes,27.7,songs and instrumental pieces,3,2,,
Attr_92,BolC Q17,1500,~1500,Florence?,Italy,manuscript,"Lourdault, lourdault",no,28.24,songs and instrumental pieces,4,4b,Ninot le Petit,Petit
Attr_93,BolC Q17,1500,~1500,Florence?,Italy,manuscript,Adieu mes amours,yes,28.3,songs and instrumental pieces,4,1,,
Attr_94,BolC Q17,1500,~1500,Florence?,Italy,manuscript,Une musque de Biscaye,yes,28.35,songs and instrumental pieces,4,1,,
Attr_95,BolC Q17,1500,~1500,Florence?,Italy,manuscript,Comment peult avoir joye,yes,28.7,songs and instrumental pieces,4,1,,
Attr_96,HradKM 7,1500,late fifteenth/early sixteenth century,Bohemia,Czech Republic,manuscript,Ave Maria,no,23.6,motet,4,1,,
Attr_97,HradKM 7,1500,late fifteenth/early sixteenth century,Bohemia,Czech Republic,manuscript,Missa L'ami Baudichon,no,5.1,mass,4,2,,Johannes Tinctoris
Attr_98,JenaU 31,1500,~1500,Wittenberg,Germany,manuscript,Missa Ad fugam,no,12.1,mass,4,4a,,
Attr_99,JenaU 31,1500,~1500,Wittenberg,Germany,manuscript,Missa L'homme armé sexti toni,no,6.2,mass,4(-6),1,,
Attr_119,BolC Q16,1501,~1490–1501,Naples/Rome,Italy,manuscript,Madame helas,no,27.24,songs and instrumental pieces,3,3,,
Attr_120,BrusBR 11239,1501,~1501,Savoy,France/Italy,manuscript,Que vous madame,no,27.33,songs and instrumental pieces,3,1,,
Attr_121,BrusBR 11239,1501,~1501,Savoy,France/Italy,manuscript,Mon seul plaisir,no,28.26,songs and instrumental pieces,4,4b,Ninot le Petit,
Attr_122,BrusBR 11239,1501,~1501,Savoy,France/Italy,manuscript,Tous les regretz,no,28.34,songs and instrumental pieces,4,4b,Pierre de La Rue,La Rue
Attr_123,BrusBR 11239,1501,~1501,Savoy,France/Italy,manuscript,Belle pour l'amour de vous,no,28.5,songs and instrumental pieces,4,3,,
Attr_124,Petrucci 1501,1501,,Venice,Italy,printed vocal music,Fortuna d'un gran tempo,yes,27.12,songs and instrumental pieces,3,2,,
Attr_125,Petrucci 1501,1501,,Venice,Italy,printed vocal music,Helas que pourra,no,27.14,songs and instrumental pieces,3,4b,Heinrich Isaac,Isaac
Attr_126,Petrucci 1501,1501,,Venice,Italy,printed vocal music,La plus des plus,yes,27.22,songs and instrumental pieces,3,2,,
Attr_127,Petrucci 1501,1501,,Venice,Italy,printed vocal music,L'heure est venue,no,27.23,songs and instrumental pieces,3,4b,Alexander Agricola,Agricola
Attr_128,Petrucci 1501,1501,,Venice,Italy,printed vocal music,Madame helas,yes,27.24,songs and instrumental pieces,3,3,,
Attr_129,Petrucci 1501,1501,,Venice,Italy,printed vocal music,Marguerite,no,27.25,songs and instrumental pieces,3,4a,,
Attr_130,Petrucci 1501,1501,,Venice,Italy,printed vocal music,Mes pensées,no,27.26,songs and instrumental pieces,3,4b,Loyset Compere,Compere
Attr_131,Petrucci 1501,1501,,Venice,Italy,printed vocal music,O Venus bant,yes,27.29,songs and instrumental pieces,3,4a,,
Attr_132,Petrucci 1501,1501,,Venice,Italy,printed vocal music,Cela sans plus,yes,27.3,songs and instrumental pieces,3,2,,
Attr_133,Petrucci 1501,1501,,Venice,Italy,printed vocal music,Pensif mari,no,27.30,songs and instrumental pieces,3,4b,Ja. Tadinghen,Tadinghen
Attr_134,Petrucci 1501,1501,,Venice,Italy,printed vocal music,Adieu mes amours,yes,28.3,songs and instrumental pieces,4,1,,
Attr_135,Petrucci 1501,1501,,Venice,Italy,printed vocal music,Bergerette savoysienne,yes,28.6,songs and instrumental pieces,4,1,,
Attr_136,Petrucci 1501,1501,,Venice,Italy,printed vocal music,De tous biens plaine,yes,28.9,songs and instrumental pieces,4,2,,
Attr_137,SegC s.s.,1501,~1498–1501,Toledo/Segovia,Spain,manuscript,Bergerette savoysienne,yes,28.6,songs and instrumental pieces,4,1,,
Attr_138,HradKM 7,1502,~1500–2,Bohemia,Czech Republic,manuscript,Virgo prudentissima,no,25.12,motet,4,2,,
Attr_139,JenaU 32,1502,~1500–2,Wittenberg,Germany,manuscript,Missa La sol fa re mi,no,11.2,mass,4,1,,
Attr_140,JenaU 32,1502,~1500–2,Wittenberg,Germany,manuscript,Missa La sol fa re mi,no,11.2,mass,4,1,,
Attr_141,JenaU 32,1502,~1500–2,Wittenberg,Germany,manuscript,Missa Gaudeamus,no,4.2,mass,4,1,,
Attr_142,JenaU 32,1502,~1500–2,Wittenberg,Germany,manuscript,Missa L'homme armé quarti toni,no,6.1,mass,4(-6),4b,Loyset Compere,
Attr_143,JenaU 32,1502,~1500–2,Wittenberg,Germany,manuscript,Missa L'homme armé super voces musicales,no,6.3,mass,4,1,,
Attr_144,ParisBNC 676,1502,,Mantua,Italy,manuscript,"In te, domine, speravi",no,28.18,songs and instrumental pieces,4,3,,
Attr_145,Petrucci 1502,1502,,Venice,Italy,printed vocal music,Missa La sol fa re mi,yes,11.2,mass,4,1,,
Attr_146,Petrucci 1502,1502,,Venice,Italy,printed vocal music,Ecce tu pulchra es,yes,14.6,motet,4,3,,
Attr_147,Petrucci 1502,1502,,Venice,Italy,printed vocal music,Missa Gaudeamus,yes,4.2,mass,4,1,,
Attr_148,Petrucci 1502,1502,,Venice,Italy,printed vocal music,Missa L'homme armé sexti toni,yes,6.2,mass,4(-6),1,,
Attr_149,Petrucci 1502,1502,,Venice,Italy,printed vocal music,Missa L'homme armé super voces musicales,yes,6.3,mass,4,1,,
Attr_150,Petrucci 1502,1502,,Venice,Italy,printed vocal music,Missa Fortuna desperata,yes,8.2,mass,4,1,,
Attr_151,Petrucci 1502|1,1502,,Venice,Italy,printed vocal music,Ecce video celos apertos,no,19.2,motet,3,4b,Nicolaus Craen,Craen
Attr_152,Petrucci 1502|1,1502,,Venice,Italy,printed vocal music,Victime paschali laudes,yes,22.6,motet,4,2,,
Attr_153,Petrucci 1502|1,1502,,Venice,Italy,printed vocal music,Ave Maria,yes,23.6,motet,4,1,,
Attr_154,Petrucci 1502|1,1502,,Venice,Italy,printed vocal music,Virgo prudentissima,yes,25.12,motet,4,2,,
Attr_155,Petrucci 1502|1,1502,,Venice,Italy,printed vocal music,De tous biens plaine,yes,27.6,songs and instrumental pieces,3,2,,
Attr_156,Petrucci 1502|2,1502,,Venice,Italy,printed vocal music,Cela sans plus,no,27.4,songs and instrumental pieces,3,4b,Colinet de Lannoy,Lannoy
Attr_157,Petrucci 1502|2,1502,,Venice,Italy,printed vocal music,L'homme armé,yes,28.23,songs and instrumental pieces,4,3,,
Attr_158,Petrucci 1502|2,1502,,Venice,Italy,printed vocal music,"Lourdault, lourdault",no,28.24,songs and instrumental pieces,4,4b,Ninot le Petit,Loyset Compere
Attr_159,Petrucci 1502|2,1502,,Venice,Italy,printed vocal music,Tous les regretz,no,28.34,songs and instrumental pieces,4,4b,Pierre de La Rue,La Rue
Attr_160,Petrucci 1502|2,1502,,Venice,Italy,printed vocal music,Baisiez moy,yes,28.4,songs and instrumental pieces,4,2,,
Attr_161,Petrucci 1502|2,1502,,Venice,Italy,printed vocal music,Comment peult avoir joye,yes,28.7,songs and instrumental pieces,4,1,,
Attr_162,Petrucci 1502|2,1502,,Venice,Italy,printed vocal music,Baisiez moy,no,30.3,songs and instrumental pieces,6,4a,,
Attr_163,SegC s.s.,1502,~1498–1502,Toledo/Segovia,Spain,manuscript,Ave Maria,yes,23.6,motet,4,1,,
Attr_164,SegC s.s.,1502,,Toledo/Segovia,Spain,manuscript,Helas que pourra,no,27.14,songs and instrumental pieces,3,4b,Heinrich Isaac,Isaac
Attr_165,SegC s.s.,1502,,Toledo/Segovia,Spain,manuscript,J'ay bien nourry,no,27.16,songs and instrumental pieces,3,4b,Jean Japart,Johannes Joye
Attr_166,SegC s.s.,1502,,Toledo/Segovia,Spain,manuscript,Que vous madame,yes,27.33,songs and instrumental pieces,3,1,,
Attr_167,SegC s.s.,1502,~1498–1502,Toledo/Segovia,Spain,manuscript,Missa L'homme armé sexti toni,yes,6.2,mass,4(-6),1,,
Attr_168,HradKM 7,1503,~1500–3,Bohemia,Czech Republic,manuscript,Qui velatus facie fuisti,no,22.3,motet,4,1,,
Attr_169,Petrucci 1503|1,1503,,Venice,Italy,printed vocal music,"Domine, non secundum peccata",yes,16.10,motet,2-4,1,,
Attr_170,Petrucci 1503|1,1503,,Venice,Italy,printed vocal music,Tulerunt dominum,no,20.14,motet,4,4b,Michele Pesenti,
Attr_171,Petrucci 1503|1,1503,,Venice,Italy,printed vocal music,Ave verum corpus,yes,21.2,motet,2-3,2,,
Attr_172,Petrucci 1503|1,1503,,Venice,Italy,printed vocal music,Ave verum / Ecce panis / Bone pastor / O salutaris hostia,no,21.4,motet,4,4b,Gregoire,Gregoire
Attr_173,Petrucci 1503|1,1503,,Venice,Italy,printed vocal music,O domine Jesu Christe,yes,22.1,motet,4,2,,
Attr_174,Petrucci 1503|1,1503,,Venice,Italy,printed vocal music,Qui velatus facie fuisti,yes,22.3,motet,4,1,,
Attr_175,Petrucci 1503|1,1503,,Venice,Italy,printed vocal music,Tu solus qui facis mirabilia,yes,22.5,motet,4,1,,
Attr_176,Petrucci 1503|1,1503,,Venice,Italy,printed vocal music,Missa D'ung aultre amer,yes,7.3,mass,4,2,,
Attr_177,Petrucci 1503|2,1503,,Venice,Italy,printed vocal music,Fortuna d'un gran tempo,no,27.12,songs and instrumental pieces,3,2,,
Attr_178,Petrucci 1503|2,1503,,Venice,Italy,printed vocal music,Helas que pourra,no,27.14,songs and instrumental pieces,3,4b,Heinrich Isaac,Isaac
Attr_179,Petrucci 1503|2,1503,,Venice,Italy,printed vocal music,La plus des plus,yes,27.22,songs and instrumental pieces,3,2,,
Attr_180,Petrucci 1503|2,1503,,Venice,Italy,printed vocal music,L'heure est venue,no,27.23,songs and instrumental pieces,3,4b,Alexander Agricola,Agricola
Attr_181,Petrucci 1503|2,1503,,Venice,Italy,printed vocal music,Madame helas,no,27.24,songs and instrumental pieces,3,3,,
Attr_182,Petrucci 1503|2,1503,,Venice,Italy,printed vocal music,Marguerite,no,27.25,songs and instrumental pieces,3,4a,,
Attr_183,Petrucci 1503|2,1503,,Venice,Italy,printed vocal music,Mes pensées,no,27.26,songs and instrumental pieces,3,4b,Loyset Compere,Compere
Attr_184,Petrucci 1503|2,1503,,Venice,Italy,printed vocal music,O Venus bant,yes,27.29,songs and instrumental pieces,3,4a,,
Attr_185,Petrucci 1503|2,1503,,Venice,Italy,printed vocal music,Cela sans plus,yes,27.3,songs and instrumental pieces,3,2,,
Attr_186,Petrucci 1503|2,1503,,Venice,Italy,printed vocal music,Pensif mari,no,27.30,songs and instrumental pieces,3,4b,Ja. Tadinghen,Tadinghen
Attr_187,Petrucci 1503|2,1503,,Venice,Italy,printed vocal music,Adieu mes amours,yes,28.3,songs and instrumental pieces,4,1,,
Attr_188,Petrucci 1503|2,1503,,Venice,Italy,printed vocal music,Bergerette savoysienne,yes,28.6,songs and instrumental pieces,4,1,,
Attr_189,Petrucci 1503|2,1503,,Venice,Italy,printed vocal music,De tous biens plaine,yes,28.9,songs and instrumental pieces,4,2,,
Attr_190,Petrucci 1503|3,1503,,Venice,Italy,printed vocal music,Cela sans plus,no,27.4,songs and instrumental pieces,3,4b,Colinet de Lannoy,Lannoy
Attr_191,Petrucci 1503|3,1503,,Venice,Italy,printed vocal music,L'homme armé,yes,28.23,songs and instrumental pieces,4,3,,
Attr_192,Petrucci 1503|3,1503,,Venice,Italy,printed vocal music,"Lourdault, lourdault",no,28.24,songs and instrumental pieces,4,4b,Ninot le Petit,Loyset Compere
